department,county,city,base,total,year,AnnualBase,AnnualTotalPay,AnnualBonus,Headcount
JUDICIAL BRANCH,PHILLIPS,MALTA,1427.08,1468.75,128913,2968326.4,3055e3,86673.59999999998,64
JUDICIAL BRANCH,POWELL,DEER LODGE,975.06,993.61,84596,2028124.8,2066708.8,38584.00000000003,42
JUDICIAL BRANCH,RAVALLI,HAMILTON,2207.38,2253.21,203428,4591350.4,4686676.8,95326.40000000002,101
JUDICIAL BRANCH,RICHLAND,SIDNEY,1944.53,1957.03,183246,4044622.4,4070622.4,25999.99999999999,91
JUDICIAL BRANCH,ROOSEVELT,WOLF POINT,713.75,725.09,62447,1484600,1508187.2,23587.199999999993,31
JUDICIAL BRANCH,SILVER BOW,BUTTE,2618.98,2689.3,235657,5447478.4,5593744,146265.59999999995,117
JUDICIAL BRANCH,STILLWATER,COLUMBUS,1246.33,1268.31,114801,2592366.4,2638084.8,45718.39999999999,57
JUDICIAL BRANCH,TOOLE,SHELBY,1206.97,1223.76,114803,2510497.6,2545420.8,34923.19999999997,57
JUDICIAL BRANCH,YELLOWSTONE,BILLINGS,7450.98,7568.91,672724,15498038.4,15743332.8,245294.4,334
LEGISLATIVE BRANCH,LEWIS AND CLARK,HELENA,143111.87,144138.96,6938100,132047372.6,134183719.8,2136347.1999999997,3445
MONTANA ARTS COUNCIL,LEWIS AND CLARK,HELENA,2163.49,2239.9900000000002,161107,4500059.2,4659179.2,159120.00000000006,80
MONTANA HISTORICAL SOCIETY,LEWIS AND CLARK,HELENA,10274.36,10656.01,1129845,21370668.8,22164500.8,793832,561
MONTANA STATE FUND,CASCADE,GREAT FALLS,122.11,122.11,8065,253988.8,253988.8,0,4
MONTANA STATE FUND,FLATHEAD,KALISPELL,218.07,218.07,12097,453585.60000000003,453585.60000000003,0,6
MONTANA STATE FUND,LEWIS AND CLARK,HELENA,68255.98,68255.98,4291793,141972438.4,141972438.4,0,2131
MONTANA STATE FUND,MISSOULA,MISSOULA,239.39,239.39,12096,497931.2,497931.2,0,6
MONTANA STATE FUND,SILVER BOW,BUTTE,252.11,252.11,14112,524388.8,524388.8,0,7
MONTANA STATE FUND,YELLOWSTONE,BILLINGS,362.44,362.44,20160,753875.2,753875.2,0,10
MONTANA STATE LIBRARY,LEWIS AND CLARK,HELENA,7851.25,8092.45,676675,16330600,16832296,501696.0000000001,336
MONTANA STATE LIBRARY,YELLOWSTONE,BILLINGS,102.75,106.9,8050,213720,222352,8632.000000000007,4
OFFICE OF PUBLIC INSTRUCTION,LEWIS AND CLARK,HELENA,60735.81,61666.98,5173760,126330484.8,128267318.4,1936833.6000000003,2569
OFFICE OF STATE PUBLIC DEFENDER,CASCADE,GREAT FALLS,2114.49,2135.64,149185,4398139.2,4442131.2,43992.000000000044,74
OFFICE OF STATE PUBLIC DEFENDER,CUSTER,MILES CITY,508.37,509.6,36287,1057409.6,1059968,2558.399999999987,18
OFFICE OF STATE PUBLIC DEFENDER,DAWSON,GLENDIVE,552.9,553.32,42333,1150032,1150905.6,873.5999999999985,21
OFFICE OF STATE PUBLIC DEFENDER,DEER LODGE,ANACONDA,248.32,249.86,20159,516505.6,519708.8,3203.2000000000116,10
OFFICE OF STATE PUBLIC DEFENDER,FERGUS,LEWISTOWN,367.07,370.39,28223,763505.6,770411.2,6905.599999999991,14
OFFICE OF STATE PUBLIC DEFENDER,FLATHEAD,KALISPELL,2322.89,2340.58,161278,4831611.2,4868406.4,36795.19999999998,80
OFFICE OF STATE PUBLIC DEFENDER,GALLATIN,BOZEMAN,1839.61,1859.22,135072,3826388.8,3867177.6,40788.800000000054,67
OFFICE OF STATE PUBLIC DEFENDER,HILL,HAVRE,648.82,651.76,50402,1349545.6,1355660.8,6115.199999999997,25
OFFICE OF STATE PUBLIC DEFENDER,LAKE,POLSON,758.17,760.81,62500,1576993.6,1582484.8,5491.199999999986,31
OFFICE OF STATE PUBLIC DEFENDER,LEWIS AND CLARK,HELENA,5195.26,5229.86,356848,10806140.8,10878108.8,71968,177
OFFICE OF STATE PUBLIC DEFENDER,MISSOULA,MISSOULA,3488.9,3544.95,229822,7256912,7373496,116584.0000000001,114
OFFICE OF STATE PUBLIC DEFENDER,RAVALLI,HAMILTON,731.38,736.16,56446,1521270.4,1531212.8,9942.400000000023,28
OFFICE OF STATE PUBLIC DEFENDER,SILVER BOW,BUTTE,2043.8,2073.43,149182,4251104,4312734.4,61630.40000000005,74
OFFICE OF STATE PUBLIC DEFENDER,VALLEY,GLASGOW,166.14000000000001,166.76,12096,345571.2,346860.8,1289.5999999999913,6
OFFICE OF STATE PUBLIC DEFENDER,YELLOWSTONE,BILLINGS,3729.2,3759.92,268139,7756736,7820633.6,63897.60000000009,133
OFFICE OF THE GOVERNOR,DEER LODGE,WARM SPRINGS,184.47,191.84,12096,383697.60000000003,399027.2,15329.599999999984,6
OFFICE OF THE GOVERNOR,LEWIS AND CLARK,HELENA,13727.21,13860.95,938570,28552596.8,28830776,278179.19999999995,466
OFFICE OF THE GOVERNOR,YELLOWSTONE,BILLINGS,113.82,113.82,6048,236745.59999999998,236745.59999999998,0,3
OFFICE OF THE SECRETARY OF STATE,LEWIS AND CLARK,HELENA,9994.51,10236.19,872047,20788580.8,21291275.2,502694.39999999997,433
OFFICE OF THE STATE AUDITOR,LEWIS AND CLARK,HELENA,15958.09,16344.94,1234523,33192827.2,33997475.2,804647.9999999999,613
OFFICE OF THE STATE PUBLIC DEFENDER,CASCADE,GREAT FALLS,2262.34,2279.43,189176,4705667.2,4741214.4,35547.19999999998,94
OFFICE OF THE STATE PUBLIC DEFENDER,CUSTER,MILES CITY,515.61,516.24,42261,1072468.8,1073779.2,1310.4000000000087,21
OFFICE OF THE STATE PUBLIC DEFENDER,DAWSON,GLENDIVE,615.76,618.48,52328,1280780.8,1286438.4,5657.599999999991,26
OFFICE OF THE STATE PUBLIC DEFENDER,DEER LODGE,ANACONDA,306.82,309.12,26164,638185.6,642969.6,4783.999999999996,13
OFFICE OF THE STATE PUBLIC DEFENDER,FERGUS,LEWISTOWN,380.22,381.65999999999997,32200,790857.6,793852.8,2995.19999999999,16
OFFICE OF THE STATE PUBLIC DEFENDER,FLATHEAD,KALISPELL,3269.33,3297.99,259605,6800206.4,6859819.2,59612.80000000002,129
OFFICE OF THE STATE PUBLIC DEFENDER,GALLATIN,BOZEMAN,2042.71,2054.44,181126,4248836.8,4273235.2,24398.399999999943,90
OFFICE OF THE STATE PUBLIC DEFENDER,HILL,HAVRE,499.48,500.9,42264,1038918.4,1041872,2953.5999999999985,21
OFFICE OF THE STATE PUBLIC DEFENDER,LAKE,POLSON,679.6,682.23,58365,1413568,1419038.4,5470.399999999972,29
OFFICE OF THE STATE PUBLIC DEFENDER,LEWIS AND CLARK,HELENA,4310.99,4369.42,372325,8966859.2,9088393.6,121534.4,185
OFFICE OF THE STATE PUBLIC DEFENDER,MISSOULA,MISSOULA,3340.27,3375.58,273702,6947761.6,7021206.4,73444.8,136
OFFICE OF THE STATE PUBLIC DEFENDER,RAVALLI,HAMILTON,858.38,864.86,76478,1785430.4,1798908.8,13478.399999999983,38
OFFICE OF THE STATE PUBLIC DEFENDER,SILVER BOW,BUTTE,3622.25,3666.06,392361,7534280,7625404.8,91124.79999999997,195
OFFICE OF THE STATE PUBLIC DEFENDER,VALLEY,GLASGOW,47.2,47.2,4028,98176,98176,0,2
OFFICE OF THE STATE PUBLIC DEFENDER,YELLOWSTONE,BILLINGS,3444.82,3472.91,301872,7165225.6,7223652.8,58427.19999999999,150
